zip_code,city,state_name,state_code,latitude,longitude,country_code
5000,Aarau,Kanton Aargau,AG,47.3887,8.0483,CH
5001,Aarau 1,Kanton Aargau,AG,47.3888,8.0483,CH
5004,Aarau,Kanton Aargau,AG,47.4007,8.0607,CH
5017,Barmelweid,Kanton Aargau,AG,47.4219,7.9722,CH
5018,Erlinsbach,Kanton Aargau,AG,47.4143,8.0077,CH
5022,Rombach,Kanton Aargau,AG,47.4052,8.0456,CH
5023,Biberstein,Kanton Aargau,AG,47.4188,8.083,CH
5024,Küttigen,Kanton Aargau,AG,47.4221,8.0439,CH
5025,Asp,Kanton Aargau,AG,47.4421,8.0506,CH
5026,Densbüren,Kanton Aargau,AG,47.4566,8.0599,CH
5032,Aarau Rohr,Kanton Aargau,AG,47.4055,8.0841,CH
5033,Buchs AG,Kanton Aargau,AG,47.3937,8.0879,CH
5034,Suhr,Kanton Aargau,AG,47.3749,8.084,CH
5035,Unterentfelden,Kanton Aargau,AG,47.3684,8.0427,CH
5036,Oberentfelden,Kanton Aargau,AG,47.3542,8.0413,CH
5037,Muhen,Kanton Aargau,AG,47.3329,8.0627,CH
5042,Hirschthal,Kanton Aargau,AG,47.3176,8.0671,CH
5722,Gränichen,Kanton Aargau,AG,47.3516,8.1066,CH
5300,Turgi,Kanton Aargau,AG,47.4901,8.2561,CH
5301,Siggenthal Station,Kanton Aargau,AG,47.5152,8.238,CH
5303,Würenlingen,Kanton Aargau,AG,47.5321,8.2492,CH
5400,Baden,Kanton Aargau,AG,47.4721,8.2914,CH
5401,Baden,Kanton Aargau,AG,47.4733,8.3059,CH
5402,Baden,Kanton Aargau,AG,47.4733,8.3059,CH
5404,Baden,Kanton Aargau,AG,47.4549,8.2783,CH
5405,Dättwil AG,Kanton Aargau,AG,47.4537,8.2899,CH
5405,Baden,Kanton Aargau,AG,47.4733,8.3059,CH
5406,Baden,Kanton Aargau,AG,47.4733,8.3059,CH
5406,Rütihof,Kanton Aargau,AG,47.4381,8.2659,CH
5408,Ennetbaden,Kanton Aargau,AG,47.4804,8.3235,CH
5412,Vogelsang AG,Kanton Aargau,AG,47.4974,8.2393,CH
5412,Gebenstorf,Kanton Aargau,AG,47.4782,8.2487,CH
5413,Birmenstorf AG,Kanton Aargau,AG,47.4558,8.2562,CH
5415,Hertenstein AG,Kanton Aargau,AG,47.4888,8.3158,CH
5415,Rieden AG,Kanton Aargau,AG,47.4839,8.304,CH
5415,Nussbaumen AG,Kanton Aargau,AG,47.4935,8.2967,CH
5416,Kirchdorf AG,Kanton Aargau,AG,47.499,8.2801,CH
5417,Untersiggenthal,Kanton Aargau,AG,47.5067,8.2584,CH
5420,Ehrendingen,Kanton Aargau,AG,47.4943,8.3468,CH
5423,Freienwil,Kanton Aargau,AG,47.5014,8.319,CH
5430,Wettingen 1,Kanton Aargau,AG,47.4668,8.3412,CH
5430,Wettingen 3,Kanton Aargau,AG,47.4668,8.3412,CH
5430,Wettingen,Kanton Aargau,AG,47.4666,8.3412,CH
5432,Neuenhof,Kanton Aargau,AG,47.4441,8.3251,CH
5436,Würenlos,Kanton Aargau,AG,47.4473,8.3639,CH
5442,Fislisbach,Kanton Aargau,AG,47.4374,8.2907,CH
5443,Niederrohrdorf,Kanton Aargau,AG,47.4201,8.3013,CH
5444,Künten,Kanton Aargau,AG,47.386,8.3254,CH
5452,Oberrohrdorf,Kanton Aargau,AG,47.4251,8.3205,CH
5453,Remetschwil,Kanton Aargau,AG,47.4083,8.3319,CH
5454,Bellikon,Kanton Aargau,AG,47.3916,8.3494,CH
5506,Mägenwil,Kanton Aargau,AG,47.4123,8.2342,CH
5507,Mellingen,Kanton Aargau,AG,47.4211,8.2742,CH
5512,Wohlenschwil,Kanton Aargau,AG,47.4167,8.2543,CH
5608,Stetten AG,Kanton Aargau,AG,47.4013,8.3051,CH
8109,Kloster Fahr,Kanton Aargau,AG,47.4083,8.4391,CH
8956,Killwangen,Kanton Aargau,AG,47.428,8.3443,CH
8957,Spreitenbach,Kanton Aargau,AG,47.418,8.3672,CH
8962,Bergdietikon,Kanton Aargau,AG,47.3881,8.3785,CH
5445,Eggenwil,Kanton Aargau,AG,47.3716,8.3385,CH
5522,Tägerig,Kanton Aargau,AG,47.3992,8.2789,CH
